model,year,price,type,distance,fuel,tax,miles per galoon,size
8,2018.0,15995.0,1,23400.0,2,145.0,52.3,1.0
8,2019.0,14298.0,1,10757.0,2,145.0,44.1,1.0
3,2016.0,11400.0,0,27712.0,0,125.0,56.5,1.7
2,2017.0,10485.0,1,17609.0,0,145.0,72.4,1.6
8,2019.0,21998.0,0,1391.0,1,135.0,52.3,1.6
2,2018.0,11998.0,1,12486.0,0,145.0,74.3,1.6
0,2017.0,6498.0,1,21070.0,2,145.0,60.1,1.0
0,2017.0,7799.0,1,21321.0,2,145.0,57.7,1.2
1,2016.0,7489.0,1,51552.0,2,30.0,56.5,1.2
5,2015.0,7998.0,1,20077.0,2,125.0,50.4,1.4
10,2018.0,15500.0,1,4411.0,2,145.0,34.9,1.6
8,2018.0,13998.0,1,11893.0,2,145.0,44.1,1.0
4,2017.0,13499.0,0,44749.0,0,145.0,33.6,2.5
10,2016.0,13298.0,1,35251.0,0,30.0,61.7,1.7
2,2019.0,23498.0,1,1437.0,2,145.0,34.0,2.0
10,2016.0,11495.0,1,19312.0,0,30.0,61.7,1.7
0,2018.0,10498.0,2,4826.0,2,145.0,47.9,1.2
1,2019.0,11795.0,1,5409.0,2,150.0,46.3,1.2
3,2017.0,11485.0,1,17393.0,0,145.0,65.7,1.7
5,2013.0,6000.0,1,42320.0,2,145.0,45.6,1.4
2,2019.0,14998.0,1,3001.0,2,145.0,41.5,1.4
9,2016.0,16498.0,1,44905.0,0,200.0,47.1,2.2
0,2016.0,5998.0,1,20746.0,2,20.0,60.1,1.0
2,2017.0,8985.0,1,18266.0,0,145.0,72.4,1.6
10,2017.0,15998.0,2,11231.0,0,150.0,57.6,1.7
10,2019.0,15998.0,1,11751.0,2,145.0,34.9,1.6
10,2016.0,11998.0,1,41350.0,0,30.0,61.7,1.7
10,2016.0,11498.0,1,40297.0,0,30.0,61.7,1.7
10,2015.0,10700.0,1,34177.0,0,30.0,61.7,1.7
8,2019.0,14298.0,1,6874.0,2,145.0,44.1,1.0
1,2017.0,8298.0,1,18047.0,2,30.0,55.4,1.2
8,2019.0,13998.0,1,4396.0,2,145.0,44.1,1.0
5,2016.0,9000.0,1,21152.0,0,30.0,64.2,1.6
10,2018.0,16500.0,1,12875.0,2,145.0,38.7,1.6
10,2018.0,13700.0,1,19087.0,2,145.0,44.8,1.6
0,2014.0,5498.0,1,13840.0,2,20.0,60.1,1.0
7,2018.0,17298.0,0,19348.0,1,135.0,78.5,1.6
10,2017.0,13998.0,1,19372.0,0,150.0,61.7,1.7
10,2017.0,11498.0,1,35213.0,0,145.0,61.7,1.7
10,2017.0,13698.0,1,17539.0,0,30.0,61.7,1.7
0,2017.0,6498.0,1,37254.0,2,20.0,60.1,1.0
4,2018.0,15498.0,0,34889.0,0,145.0,28.0,2.5
10,2016.0,11599.0,1,31480.0,0,30.0,61.7,1.7
0,2017.0,7498.0,1,8788.0,2,145.0,60.1,1.0
8,2018.0,12498.0,1,12834.0,2,145.0,52.3,1.0
10,2015.0,10298.0,1,69085.0,0,30.0,61.7,1.7
2,2018.0,9498.0,1,11462.0,2,145.0,57.7,1.0
6,2014.0,9800.0,1,35541.0,0,145.0,53.3,1.7
8,2019.0,14998.0,1,6717.0,2,150.0,44.1,1.0
2,2018.0,8998.0,1,24070.0,2,145.0,57.7,1.0
4,2018.0,15998.0,1,37324.0,0,145.0,28.0,2.5
10,2018.0,15298.0,1,14429.0,2,145.0,34.9,1.6
0,2015.0,6500.0,1,12731.0,2,30.0,57.6,1.2
0,2020.0,14485.0,1,100.0,2,145.0,51.4,1.2
3,2016.0,10998.0,1,29347.0,0,30.0,65.7,1.7
10,2017.0,14498.0,1,37587.0,0,145.0,54.3,2.0
8,2018.0,12998.0,1,9133.0,2,145.0,52.3,1.0
0,2018.0,9499.0,0,8418.0,2,145.0,47.9,1.2
0,2017.0,6995.0,1,20200.0,2,145.0,60.1,1.0
1,2015.0,7398.0,1,23656.0,2,30.0,55.4,1.2
8,2018.0,13698.0,1,14441.0,2,145.0,44.1,1.0
10,2016.0,12698.0,1,35870.0,0,30.0,61.7,1.7
0,2018.0,8495.0,0,28889.0,2,145.0,47.9,1.2
3,2015.0,9298.0,1,34572.0,0,30.0,65.7,1.7
0,2016.0,6500.0,1,27465.0,2,20.0,60.1,1.0
9,2019.0,24502.192167643123,2,4133.0,0,145.0,39.2,2.2
2,2018.0,11298.0,1,11150.0,2,145.0,56.5,1.0
8,2018.0,13998.0,1,18911.0,2,145.0,52.3,1.0
10,2018.0,13950.0,1,17427.0,2,150.0,44.8,1.6
2,2017.0,10485.0,1,15359.0,0,145.0,72.4,1.6
10,2019.0,18998.0,2,3649.0,2,150.0,36.2,1.6
0,2018.0,6998.0,1,24152.0,2,145.0,60.1,1.0
10,2016.0,13498.0,1,26677.0,0,30.0,61.7,1.7
9,2014.0,15500.0,0,37006.0,0,265.0,41.5,2.2
10,2017.0,13698.0,1,31739.0,0,145.0,61.7,1.7
10,2017.0,12000.0,1,17059.0,0,30.0,61.7,1.7
10,2016.0,12995.0,1,37688.0,0,30.0,61.7,1.7
10,2017.0,14498.0,1,19400.0,0,30.0,61.7,1.7
5,2017.0,8998.0,1,22861.0,2,145.0,50.4,1.4
0,2016.0,6500.0,1,24740.0,2,20.0,60.1,1.0
9,2017.0,15998.0,1,48034.0,0,205.0,47.1,2.2
10,2016.0,11498.0,1,42404.0,0,30.0,61.7,1.7
6,2013.0,8200.0,1,34500.0,0,145.0,53.3,1.7
0,2016.0,5998.0,1,41883.0,2,30.0,57.6,1.2
10,2019.0,15498.0,1,11757.0,2,145.0,34.9,1.6
10,2015.0,11998.0,1,27256.0,0,30.0,61.7,1.7
10,2016.0,10998.0,1,20258.0,2,160.0,44.8,1.6
10,2016.0,15800.0,0,20025.0,0,125.0,57.6,1.7
5,2015.0,6498.0,1,57819.0,2,125.0,50.4,1.4
10,2016.0,13998.0,2,30551.0,0,125.0,57.6,1.7
10,2019.0,23998.0,1,6491.0,1,145.0,47.9,1.6
10,2019.0,15498.0,1,12077.0,2,145.0,34.9,1.6
10,2017.0,13998.0,1,21679.0,0,30.0,61.7,1.7
5,2016.0,7998.0,1,20760.0,2,125.0,50.4,1.4
2,2016.0,8998.0,1,32025.0,0,0.0,78.4,1.6
2,2015.0,8798.0,1,21701.0,2,150.0,48.7,1.4
5,2016.0,8298.0,1,28355.0,2,125.0,50.4,1.4
10,2016.0,12498.0,1,15959.0,0,30.0,61.7,1.7
2,2019.0,14998.0,1,3241.0,2,145.0,41.5,1.4
2,2018.0,11531.0,0,35097.0,2,145.0,51.4,1.4
8,2019.0,20998.0,0,4672.0,1,140.0,52.3,1.6
10,2017.0,14100.0,1,5067.0,2,145.0,44.8,1.6
2,2019.0,14998.0,1,3303.0,2,145.0,41.5,1.4
2,2018.0,8998.0,1,20596.0,2,145.0,57.7,1.0
1,2019.0,12498.0,1,1023.0,2,145.0,46.3,1.2
0,2014.0,5644.0,1,40248.0,2,20.0,60.1,1.0
10,2016.0,11485.0,1,53963.0,0,30.0,61.7,1.7
0,2015.0,5998.0,1,8116.0,2,20.0,60.1,1.0
10,2017.0,14998.0,2,13094.0,0,125.0,57.6,1.7
7,2019.0,16498.0,0,4004.0,1,135.0,78.5,1.6
2,2018.0,9000.0,1,15804.0,2,145.0,57.7,1.0
1,2017.0,8598.0,1,9392.0,2,30.0,58.9,1.2
1,2017.0,9490.0,1,1862.0,2,150.0,55.4,1.2
10,2017.0,10995.0,1,62382.0,0,30.0,61.7,1.7
0,2018.0,6350.0,1,31738.0,2,145.0,60.1,1.0
10,2018.0,13985.0,1,15563.0,0,150.0,61.7,1.7
2,2016.0,9400.0,1,18577.0,2,145.0,48.7,1.4
10,2019.0,15998.0,1,3454.0,2,145.0,35.3,1.6
10,2016.0,14995.0,1,25044.0,0,125.0,58.9,2.0
5,2015.0,7498.0,1,34123.0,2,125.0,50.4,1.4
1,2019.0,10485.0,1,13484.0,2,145.0,46.3,1.2
10,2017.0,15298.0,2,19066.0,0,150.0,57.6,1.7
1,2015.0,7798.0,1,23001.0,2,30.0,55.4,1.2
3,2016.0,10498.0,1,26775.0,0,30.0,65.7,1.7
2,2016.0,8900.0,1,17350.0,2,145.0,48.7,1.4
0,2014.0,5498.0,1,23928.0,2,20.0,60.1,1.0
0,2016.0,6499.0,1,23789.0,2,20.0,60.1,1.0
10,2016.0,12950.0,1,37350.0,0,125.0,58.9,2.0
6,2015.0,7995.0,1,54783.0,0,150.0,53.3,1.7
2,2019.0,14998.0,1,3292.0,2,145.0,41.5,1.4
2,2019.0,14998.0,1,3398.0,2,145.0,41.5,1.4
2,2018.0,10399.0,0,38082.0,2,145.0,51.4,1.4
10,2016.0,11998.0,1,35224.0,0,30.0,61.7,1.7
2,2017.0,9698.0,1,43717.0,0,20.0,72.4,1.6
10,2018.0,14498.0,1,37305.0,2,145.0,34.9,1.6
10,2019.0,17750.0,1,10000.0,2,150.0,34.9,1.6
1,2017.0,7999.0,1,44120.0,2,150.0,62.8,1.0
6,2014.0,7298.0,1,71289.0,0,145.0,53.3,1.7
8,2018.0,13698.0,1,9616.0,2,145.0,44.1,1.0
10,2017.0,15498.0,1,26826.0,0,30.0,61.4,1.7
10,2016.0,14499.0,0,25233.0,0,235.0,43.5,2.0
10,2017.0,13100.0,1,21119.0,0,30.0,61.7,1.7
4,2017.0,15985.0,0,35154.0,0,298.50206787132424,33.6,2.5
10,2019.0,15498.0,1,17948.0,2,145.0,34.9,1.6
0,2017.0,6998.0,1,21962.0,2,145.0,60.1,1.0
0,2015.0,6149.0,1,41650.0,2,20.0,60.1,1.0
10,2017.0,12700.0,1,33808.0,0,30.0,61.7,1.7
10,2016.0,10998.0,1,40191.0,0,30.0,61.7,1.7
2,2013.0,5998.0,1,59039.0,0,0.0,74.3,1.6
2,2015.0,7998.0,1,25399.0,2,145.0,47.1,1.4
10,2017.0,13200.0,1,22888.0,0,150.0,61.7,1.7
9,2013.0,12245.0,2,72854.0,0,260.0,41.5,2.2
3,2016.0,9698.0,1,40134.0,0,30.0,65.7,1.7
7,2018.0,17298.0,0,13884.0,1,135.0,78.5,1.6
3,2015.0,8700.0,1,31979.0,0,30.0,65.7,1.7
10,2016.0,14999.0,0,20645.0,0,205.0,47.1,2.0
10,2016.0,11998.0,1,40457.0,0,30.0,61.7,1.7
8,2019.0,15298.0,1,879.0,2,145.0,44.1,1.0
2,2015.0,6698.0,1,64365.0,0,0.0,78.4,1.6
10,2016.0,14199.0,0,30300.0,0,125.0,57.6,1.7
9,2015.0,13998.0,1,54963.0,0,200.0,46.3,2.2
1,2015.0,7298.0,1,35921.0,2,30.0,55.4,1.2
8,2019.0,13998.0,1,8777.0,2,145.0,44.1,1.0
1,2015.0,6900.0,1,26413.0,2,30.0,55.4,1.2
